# AffiLabs Cycle Autosave
# Timestamp,2025-11-27T01:43:45.214613
# Cycle Start,3.524 s
# Cycle Stop,544.774 s
# Duration,541.250 s
# Filter Enabled,False
# Reference Subtraction,False

Time (s),Ch A Wavelength (nm),Ch A SPR (RU),Ch B Wavelength (nm),Ch B SPR (RU),Ch C Wavelength (nm),Ch C SPR (RU),Ch D Wavelength (nm),Ch D SPR (RU)
352.4807,646.5018,46.7524,642.7352,-5.1011,643.0985,-23.2049,654.5526,10.2731
353.8763,646.5115,56.4568,642.7261,-14.1912,643.0919,-29.8126,654.5475,5.1896
355.3707,646.4680,12.9530,642.7328,-7.4593,643.1027,-18.9909,654.5517,9.3466
356.7553,646.4935,38.4359,642.7481,7.8163,643.0987,-23.0074,654.4548,-87.4855
358.1957,646.4949,39.8381,642.7268,-13.4509,643.1157,-5.9648,654.5320,-10.3411
359.5909,646.4656,10.5489,642.7273,-12.9585,643.1097,-11.9955,654.5456,3.2690
361.0755,646.4500,-5.0770,642.7229,-17.3816,643.1025,-19.2166,654.5454,3.0377
362.4718,646.4927,37.6616,642.7267,-13.5680,643.0948,-26.8488,654.4306,-111.7200
363.9105,646.4873,32.2498,642.7202,-20.0879,643.1137,-7.9959,654.5316,-10.6717
365.3889,646.4851,30.0162,642.7413,1.0431,643.1041,-17.5848,654.5317,-10.6321
366.8366,646.5145,59.4314,642.7230,-17.2860,643.1015,-20.1589,654.5543,11.9818
368.3131,646.5074,52.3904,642.7375,-2.7956,643.0979,-23.7980,654.5495,7.2233
369.7620,646.4956,40.5293,642.7435,3.2406,643.1092,-12.4506,654.5506,8.2971
371.2001,646.4977,42.7009,642.6862,-54.1162,643.1102,-11.5079,654.5414,-0.9282
372.5954,646.4799,24.8679,642.7254,-14.9321,643.0907,-30.9483,654.5437,1.4021
374.0805,646.4810,25.9406,642.7269,-13.3480,643.1076,-14.0948,654.5390,-3.3554
375.5216,646.5145,59.4410,642.7393,-1.0269,643.1000,-21.6664,654.5722,29.8930
377.1412,646.5028,47.7466,642.7305,-9.7676,643.1067,-14.9953,654.5358,-6.5432
378.6267,646.4844,29.3604,642.7329,-7.3967,643.1050,-16.7279,654.5743,31.9430
380.0660,646.4743,19.2534,642.7265,-13.7992,643.1090,-12.7036,654.5791,36.7478
381.4605,646.4925,37.4226,642.7341,-6.1588,643.1246,2.9420,654.4631,-79.2514
382.9008,646.4988,43.7741,642.7081,-32.2034,643.1080,-13.6542,654.5380,-4.3216
384.3592,646.4932,38.1971,642.7387,-1.6074,643.1118,-9.8444,654.5752,32.9002
385.7808,646.4922,37.1675,642.7254,-14.8973,643.1063,-15.3856,654.5790,36.6990
387.2346,646.4919,36.8800,642.6992,-41.0632,643.0869,-34.8373,654.5549,12.5338
388.6610,646.5051,50.0538,642.7090,-31.2565,643.1300,8.3080,654.5489,6.6100
390.0554,646.5069,51.8682,642.7267,-13.6137,643.0990,-22.7226,654.5547,12.3659
391.4957,646.4987,43.7044,642.7268,-13.5003,643.1170,-4.6793,654.5503,8.0065
392.9807,646.5056,50.5283,642.7441,3.8265,643.0986,-23.0579,654.5739,31.5896
394.4209,646.5025,47.4260,642.7114,-28.9092,643.1150,-6.7029,654.5504,8.0843
395.8605,646.4897,34.6894,642.7517,11.4514,643.0974,-24.2714,654.5537,11.3954
397.3551,646.5082,53.1848,642.7289,-11.3934,643.1038,-17.8457,654.5502,7.9224
398.7853,646.4933,38.2637,642.7355,-4.7931,643.0993,-22.3671,654.5559,13.6126
400.2339,646.4901,35.0190,642.7144,-25.9247,643.1046,-17.0948,654.5739,31.5515
401.6205,646.4946,39.5146,642.7127,-27.5741,643.0879,-33.8267,654.4800,-62.3487
403.0158,646.5149,59.9001,642.7280,-12.2690,643.1056,-16.1037,654.5436,1.2475
404.4553,646.4966,41.5982,642.7282,-12.0918,643.0863,-35.3763,654.5450,2.7047
405.8956,646.4979,42.8309,642.7211,-19.2090,643.1177,-4.0222,654.5378,-4.5659
407.3804,646.5086,53.6013,642.7236,-16.7318,643.1149,-6.7838,654.5212,-21.1636
408.7757,646.4786,23.5990,642.7318,-8.5018,643.0971,-24.5606,654.4681,-74.2029
410.2151,646.5043,49.2304,642.7290,-11.3130,643.1057,-16.0387,654.5293,-13.0492
411.7008,646.5014,46.3926,642.7297,-10.6284,643.0895,-32.2221,654.5521,9.7320
413.1402,646.4914,36.3515,642.7214,-18.8813,643.1067,-15.0157,654.5254,-16.8975
414.6061,646.4890,33.9796,642.7281,-12.1758,643.0839,-37.7740,654.5135,-28.8559
416.1104,646.4812,26.1083,642.7252,-15.0697,643.0914,-30.2702,654.5448,2.4790
417.4607,646.4825,27.4714,642.7417,1.4017,643.0815,-40.1836,654.4302,-112.1667
418.9012,646.5049,49.9005,642.7361,-4.2304,643.0791,-42.6329,654.5862,43.8699
420.3654,646.5037,48.6207,642.7242,-16.1122,643.1014,-20.3305,654.5378,-4.4749
421.8278,646.4804,25.3592,642.7246,-15.6571,643.0787,-43.0075,654.5782,35.8386
423.7926,646.5609,105.8101,642.6616,-78.7228,643.0879,-33.7713,654.5282,-14.1673
425.2109,646.5243,69.2406,642.7350,-5.2417,643.0926,-29.1287,654.4226,-119.6982
427.4147,646.4598,4.7280,642.7121,-28.1690,643.1233,1.6067,654.5725,30.2182
