name,points,p2p_pm,std_pm
Fourier+B4_median+SG11,45,22.700151552157877,4.5964062322221695
Fourier+B4+SG5+Exp0.3,45,22.712541195346603,5.38668560278163
Fourier+B5+SG9+Exp0.3,36,22.727954191168465,5.634895382328889
Fourier+B4+SG11+Exp0.3,45,22.774330663537512,5.431044061949258
Direct+B2+SG7+Exp0.1,91,22.80948330235333,6.802718811296581
Direct+B2+SG7+Exp0.1,91,22.80948330235333,6.802718811296581
Adaptive+B5+SG9+Exp0.3,36,22.827326501897005,5.857133554455842
Adaptive+B4+SG11+Exp0.2,45,22.83360139301749,5.720108277765103
Adaptive+B3+SG9+Exp0.2,60,22.878091425354796,5.797938156522453
Fourier+B3+SG3+Exp0.2,60,22.87976391630764,5.07522400520799
Adaptive+B5+SG11+Exp0.3,36,22.944342821347163,5.708252438325796
Direct+B4+SG7+Exp0.2,45,22.963468038255996,6.848390108570564
Fourier+B5+SG7+Exp0.3,36,22.979810165338677,5.548011796808718
Adaptive+B5_weighted+SG9,36,22.984696291359796,4.785602037943228
Adaptive+B5+SG7+Exp0.3,36,23.004089771006875,5.813423914253242
Fourier+B4+SG11+Exp0.3,45,23.02960032182,5.8259896950567
Direct+B4+SG5+Exp0.2,45,23.14589967943448,6.823539728957003
Adaptive+B4+SG7+Exp0.3,45,23.155128357188914,5.944500637523211
Direct+B4+SG3+Exp0.2,45,23.161496320994956,6.456029932481279
Fourier+B3+SG11+Exp0.1,60,23.202797016210752,6.559330151237931
Fourier+B2+SG11+Exp0.1,91,23.20762812803423,6.075678294167507
Fourier+B4+SG9+Exp0.2,45,23.254108984360755,6.103291223949747
Adaptive+B5+SG3+Exp0.3,36,23.289010336043248,5.278503298263152
Fourier+B5_median+SG11,36,23.2949288230202,4.9360849419486925
Adaptive+B5_weighted+SG11,36,23.36080230963944,4.663114012663358
Fourier+B5_weighted+SG5,36,23.421738152592297,5.752644000149656
Adaptive+B5+SG3+Exp0.3,36,23.49622784265648,5.640096034827115
Direct+B5+SG11+Exp0.2,36,23.537190704246314,6.540543205823718
Adaptive+B4+SG5+Exp0.3,45,23.544250423583435,5.827373243535975
Direct+B5+SG3+Exp0.3,36,23.55359158639203,6.289918368867364
Adaptive+B4_median+SG11,45,23.5884048954631,5.31222337774271
Direct+B4+SG7+Exp0.2,45,23.64147587786647,6.91443663421968
Adaptive+B5+SG9+Exp0.3,36,23.659351139258433,5.860974447224063
Direct+B5+SG5+Exp0.3,36,23.695042555345935,7.28341572774173
Adaptive+B3+SG7+Exp0.3,60,23.70683168908272,6.03223817892076
Adaptive+B4+SG11+Exp0.2,45,23.712938262633543,6.222321304725768
Fourier+B4+SG9+Exp0.2,45,23.74551952038928,5.787540977624701
Fourier+B3+SG9+Exp0.3,60,23.83341147651663,5.937059204400499
Fourier+B2+SG11+Exp0.2,91,23.88738705724336,5.708748479333647
Fourier+B2+SG11+Exp0.2,91,23.88738705724336,5.708748479333647
Direct+B4+SG7+Exp0.1,45,23.913076821486356,7.209237501834574
Adaptive+B4+SG11+Exp0.3,45,23.966915057371807,5.684128057316848
Adaptive+B3+SG3+Exp0.2,60,24.007077836927238,5.673970514850243
Direct+B5+SG9+Exp0.3,36,24.034151305500018,7.020184645953401
Adaptive+B2+SG3+Exp0.1,91,24.03572822959177,5.967213928011206
Adaptive+B3+SG5+Exp0.3,60,24.06936801980919,5.913820928873112
Direct+B4+SG11+Exp0.2,45,24.10748527506712,7.121803768328669
Adaptive+B5_weighted+SG5,36,24.215925429189156,6.0738614245857985
Fourier+B2+SG9+Exp0.2,91,24.218335368232147,5.611933461256692
Fourier+B2+SG9+Exp0.2,91,24.218335368232147,5.611933461256692
Direct+B5+SG7+Exp0.3,36,24.234381285623385,7.114243966976978
